ts,epoch,gpu_util,engine_state,engine_jiff,engine_thr
00:31:47,1790181107,36,R,206433,333
00:31:48,1790181108,36,R,206572,333
00:31:49,1790181109,36,R,206711,333
00:31:50,1790181110,36,R,206849,333
00:31:51,1790181111,36,R,206984,333
00:31:52,1790181112,36,R,207119,333
00:31:53,1790181113,36,R,207254,333
00:31:54,1790181114,36,R,207388,333
00:31:55,1790181115,36,R,207523,333
00:31:56,1790181116,36,R,207658,333
00:31:57,1790181117,36,R,207793,333
00:31:58,1790181118,36,R,207928,333
00:31:59,1790181119,36,R,208064,333
00:32:00,1790181120,36,R,208198,333
00:32:01,1790181121,36,R,208335,333
00:32:02,1790181122,36,S,208470,333
00:32:03,1790181123,36,R,208606,333
00:32:04,1790181124,36,R,208740,333
00:32:05,1790181125,36,R,208876,333
00:32:06,1790181126,36,R,209010,333
00:32:07,1790181127,36,R,209145,333
00:32:08,1790181128,36,R,209281,333
00:32:09,1790181129,36,R,209417,333
00:32:10,1790181130,36,R,209551,333
00:32:11,1790181131,36,R,209687,333
00:32:12,1790181132,36,R,209821,333
00:32:13,1790181133,36,R,209957,333
00:32:14,1790181134,36,R,210091,333
00:32:15,1790181135,36,R,210226,333
00:32:16,1790181136,36,R,210362,333
00:32:17,1790181137,36,R,210497,333
00:32:18,1790181138,36,R,210631,333
00:32:19,1790181139,36,R,210766,333
00:32:20,1790181140,36,R,210901,333
00:32:21,1790181141,36,R,211037,333
00:32:22,1790181142,36,R,211171,333
00:32:23,1790181143,36,R,211307,333
00:32:24,1790181144,36,S,211441,333
00:32:25,1790181145,36,R,211575,333
00:32:26,1790181146,36,R,211711,333
00:32:27,1790181147,36,R,211845,333
00:32:28,1790181148,36,R,211981,333
00:32:29,1790181149,36,R,212116,333
00:32:30,1790181150,36,R,212251,333
00:32:31,1790181151,36,R,212387,333
00:32:32,1790181152,36,R,212530,333
00:32:33,1790181153,36,R,212681,333
00:32:34,1790181154,36,R,212819,333
00:32:35,1790181155,36,R,212958,333
00:32:36,1790181156,36,R,213112,333
00:32:37,1790181157,36,R,213250,333
00:32:38,1790181158,36,R,213390,333
00:32:39,1790181159,36,R,213528,333
00:32:40,1790181160,36,R,213668,333
00:32:41,1790181161,36,R,213806,333
00:32:42,1790181162,36,R,213946,333
00:32:43,1790181163,36,R,214085,333
00:32:44,1790181164,36,R,214223,333
00:32:45,1790181165,36,R,214363,333
00:32:46,1790181166,36,R,214502,333
00:32:47,1790181167,36,R,214641,333
00:32:48,1790181168,36,R,214780,333
00:32:49,1790181169,36,R,214921,333
00:32:50,1790181170,36,R,215059,333
00:32:51,1790181171,36,R,215198,333
00:32:52,1790181172,36,R,215335,333
00:32:53,1790181173,36,R,215471,333
00:32:54,1790181174,36,R,215606,333
00:32:55,1790181175,36,R,215742,333
00:32:56,1790181176,36,R,215878,333
00:32:57,1790181177,36,R,216014,333
00:32:58,1790181178,36,R,216149,333
00:32:59,1790181179,36,R,216285,333
00:33:00,1790181180,36,R,216419,333
00:33:01,1790181181,36,R,216555,333
00:33:02,1790181182,36,R,216690,333
00:33:03,1790181183,36,R,216825,333
00:33:04,1790181184,36,R,216961,333
00:33:05,1790181185,36,R,217096,333
00:33:06,1790181186,36,R,217231,333
00:33:07,1790181187,36,R,217367,333
00:33:08,1790181188,36,R,217501,333
00:33:09,1790181189,36,R,217636,333
00:33:10,1790181190,36,R,217772,333
00:33:11,1790181191,36,R,217907,333
00:33:12,1790181192,36,R,218042,333
00:33:13,1790181193,36,R,218178,333
00:33:14,1790181194,36,R,218312,333
00:33:15,1790181195,36,R,218448,333
00:33:16,1790181196,36,R,218583,333
00:33:17,1790181197,36,R,218718,333
00:33:18,1790181198,36,R,218853,333
00:33:19,1790181199,36,R,218988,333
00:33:20,1790181200,36,R,219123,333
00:33:21,1790181201,36,R,219258,333
